sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.6389;3.2769;8.9797;0.1353;2.3387;9.5227;-0.2287;0.9161;-0.7329;1.682;0.214;-1.0767;2.7;25.46;-4.91;-17.47;267.99;-13.8;-0.81;5.0;58.91;;;;NaN;;;;0 / 0;31067;2021-03-12 21:38:08:445
0.6787;0.8575;7.9497;-1.0849;0.0054;9.7465;2.1895;-1.5318;-0.4051;1.7761;-0.0437;-0.5375;4.8;26.25;3.07;-12.51;277.03;-0.03;6.35;5.0;67.032;;;;NaN;;;;0 / 0;31567;2021-03-12 21:38:08:945
-2.4163;2.3235;9.5019;-0.8264;1.928;9.5797;-1.1764;0.2806;-0.3643;-0.4337;0.0415;-1.3859;2.4;11.94;14.92;-20.57;331.69;-17.34;2.28;5.0;49.872;;;;NaN;;;;0 / 0;32067;2021-03-12 21:38:09:445
-0.5718;2.1798;11.4087;-0.5296;1.7981;9.6258;-0.7296;1.6805;-1.0666;-0.1583;-0.2335;-0.1995;2.4;-1.24;18.28;-23.02;7.9;-15.57;5.63;5.0;59.94;;;;NaN;;;;0 / 0;32567;2021-03-12 21:38:09:945
1.5985;1.7582;8.7594;-0.0261;2.0393;9.5922;0.9794;-0.3861;-1.2281;0.1044;-0.0953;-0.3427;3.0;-5.94;17.63;-20.32;15.61;-9.81;-0.26;5.0;50.608;;;;NaN;;;;0 / 0;33067;2021-03-12 21:38:10:445
-0.4472;2.4529;9.9667;0.4465;1.7572;9.6376;-0.6866;0.756;-1.5692;0.712;-0.151;-0.2083;3.0;-10.85;18.04;-19.06;25.49;-10.32;-2.65;5.0;60.284;;;;NaN;;;;0 / 0;33566;2021-03-12 21:38:10:944
0.6787;2.5631;9.0803;-0.4943;1.3727;9.6975;1.9167;-0.8279;0.3639;1.3452;0.3378;-0.1405;3.0;-0.47;17.08;-19.74;2.97;-8.05;2.92;5.0;52.883;;;;NaN;;;;0 / 0;34067;2021-03-12 21:38:11:445
-1.2042;1.4659;7.7964;-0.4388;0.577;9.7798;-0.7393;-0.7811;1.2808;1.2102;0.4494;-0.427;3.0;-1.54;20.29;-14.99;8.87;-2.69;4.71;5.0;53.528;;;;NaN;;;;0 / 0;34568;2021-03-12 21:38:11:946
-0.543;1.624;8.8456;-0.2157;0.3958;9.7963;-0.2226;0.9647;1.6831;-0.081;-0.2657;-0.7679;2.7;-13.28;19.69;-15.63;32.92;-2.31;1.26;5.0;58.54;;;;NaN;;;;0 / 0;35067;2021-03-12 21:38:12:445
1.0044;1.097;11.3944;-0.3831;1.133;9.7335;0.4615;0.6341;-0.8849;-0.1986;0.1005;0.784;2.7;-16.5;16.39;-16.48;44.92;-6.63;2.25;5.0;59.844;;;;NaN;;;;0 / 0;35573;2021-03-12 21:38:12:951
